grupo,numero,titulo_ptbr,capa_url,logo_url
franquias,48,Jogos Vorazes,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-048-jogos-vorazes.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-048-jogos-vorazes.webp
franquias,49,Maze Runner,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-049-maze-runner.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-049-maze-runner.webp
franquias,50,Piratas do Caribe,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-050-piratas-do-caribe.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-050-piratas-do-caribe.webp
franquias,51,Shrek,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-051-shrek.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-051-shrek.webp
franquias,52,A Era do Gelo,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-052-a-era-do-gelo.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-052-a-era-do-gelo.webp
franquias,53,Como Treinar o Seu Dragão,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-053-como-treinar-o-seu-dragao.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-053-como-treinar-o-seu-dragao.webp
franquias,54,Meu Malvado Favorito,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-054-meu-malvado-favorito.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-054-meu-malvado-favorito.webp
franquias,55,Minions,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-055-minions.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-055-minions.webp
franquias,56,Kung Fu Panda,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-056-kung-fu-panda.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-056-kung-fu-panda.webp
franquias,57,Os Incríveis,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-057-os-incriveis.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-057-os-incriveis.webp
franquias,58,Toy Story,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-058-toy-story.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-058-toy-story.webp
franquias,59,Procurando Nemo,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-059-procurando-nemo.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-059-procurando-nemo.webp
franquias,60,Duna,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-060-duna.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-060-duna.webp
franquias,61,O Poderoso Chefão,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-061-o-poderoso-chefao.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-061-o-poderoso-chefao.webp
franquias,62,Avatar,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-062-avatar.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-062-avatar.webp
franquias,63,Entre Facas e Segredos,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-063-entre-facas-e-segredos.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-063-entre-facas-e-segredos.webp
franquias,64,De Volta para o Futuro,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-064-de-volta-para-o-futuro.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-064-de-volta-para-o-futuro.webp
franquias,65,Sherlock Holmes,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-065-sherlock-holmes.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-065-sherlock-holmes.webp
franquias,66,Universo DC,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-066-universo-dc.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-066-universo-dc.webp
